,k,loss,delta_1,delta_2,strength
0,1,73.92599999999999,,,
1,2,69.09544094493158,4.830559055068406,,0.0
2,3,65.43100143004273,3.664439514888855,1.166119540179551,0.0
3,4,60.16681174576316,5.264189684279565,-1.5997501693907097,0.23700298523265673
4,5,57.65321839623971,2.513593349523454,2.7505963347561107,0.0
5,6,53.66268645560405,3.9905319406356554,-1.4769385911122015,0.0
6,7,48.980248878642925,4.682437576961128,-0.6919056363254725,0.0
7,8,46.58544754969989,2.394801328943032,2.287636248018096,0.0
8,9,43.40861803979322,3.176829509906675,-0.7820281809636427,0.0
9,10,40.43273404727502,2.975883992518199,0.200945517388476,0.0
10,11,37.27826955121294,3.154464496062083,-0.1785805035438841,0.0
11,12,34.18051385266421,3.097755698548724,0.05670879751335889,0.0
12,13,32.30601071731513,1.8745031353490802,1.2232525631996438,0.0
13,14,28.821509515307802,3.48450120200733,-1.6099980666582496,0.0
14,15,26.62989355669261,2.1916159586151913,1.2928852433921385,0.0
15,16,23.707343921970345,2.922549634722266,-0.7309336761070746,0.0
16,17,21.466294810281642,2.241049111688703,0.6815005230335629,0.0
17,18,19.3905519665169,2.0757428437647434,0.16530626792395964,0.0
18,19,16.971065131222023,2.419486835294876,-0.3437439915301326,0.0
19,20,14.977948263158508,1.993116868063515,0.426369967231361,0.0
20,21,13.072068558847402,1.905879704311106,0.08723716375240897,0.30029720384021097
21,22,12.269277308611954,0.8027912502354475,1.1030884540756585,0.0
22,23,11.697854365498465,0.5714229431134896,0.23136830712195788,0.0
23,24,11.188769500777354,0.5090848647211104,0.06233807839237926,0.0
24,25,10.689938549921711,0.498830950855643,0.010253913865467368,0.0
25,26,10.293837372251952,0.3961011776697596,0.10272977318588339,0.0
26,27,9.822378547313996,0.4714588249379563,-0.07535764726819671,0.04160554963085339
27,28,9.607451909660444,0.21492663765355147,0.25653218728440486,0.0
28,29,9.126239161365579,0.4812127482948654,-0.2662861106413139,0.0
29,30,8.43622711067559,0.6900120506899885,-0.20879930239512312,0.08555514620360505
30,31,8.133998658432398,0.3022284522431917,0.3877835984467968,0.0
31,32,7.948012193938489,0.18598646449390976,0.11624198774928196,0.0
32,33,7.689161313961035,0.2588508799774534,-0.07286441548354361,0.0
33,34,7.347256646426065,0.34190466753496995,-0.08305378755751658,0.0
34,35,6.988919555420734,0.35833709100533095,-0.016432423470361,0.0
35,36,6.514667444836356,0.474252110584378,-0.11591501957904704,0.11295037778779626
36,37,6.3340165784380655,0.18065086639829087,0.29360124418608713,0.0
37,38,5.825030661906774,0.5089859165312918,-0.3283350501330009,0.0
38,39,5.5516124556621085,0.2734182062446653,0.23556771028662649,0.0343130453646836
39,40,5.432059875222118,0.11955258043999084,0.15386562580467444,0.0
40,41,5.159672023528634,0.2723878516934839,-0.15283527125349305,0.01626665268937799
41,42,5.031611424026581,0.12806059950205295,0.14432725219143094,0.0
42,43,4.709059015577844,0.322552408448737,-0.19449180894668405,0.014660820874900615
43,44,4.555113221790926,0.1539457937869182,0.1686066146618188,0.0
44,45,4.2931611673005765,0.2619520544903491,-0.10800626070343089,0.0
45,46,4.145882541228089,0.1472786260724872,0.11467342841786188,0.14630461621496682
46,47,4.145395536299329,0.00048700492876019297,0.146791621143727,0.0
47,48,3.88334011150309,0.2620554247962392,-0.26156841986747903,0.0753273318714891
48,49,3.789976065040715,0.09336404646237506,0.16869137833386416,0.0
